protocol,step,role,status,energy_Eh,n_modes,imaginary_count,imaginary_frequencies,n_charges,optimized_xyz,energy_file,hessian_file,frequency_file,charge_file
GFN1_tight,RS2_1_to_TS2_1a,TS,FAILED,,,,,,,,,,
GFN1_tight,RS2_1_to_TS2_1a,PS,FAILED,,,,,,,,,,
GFN1_tight,TS2_1a_to_PS2_2,RS,SUCCESS,-114.990954323423,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_charges.csv
GFN1_tight,TS2_1a_to_PS2_2,TS,SUCCESS,-114.994867578944,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_charges.csv
GFN1_tight,TS2_1a_to_PS2_2,PS,SUCCESS,-115.025367463752,165.0,1.0,-3.2500,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN1_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_charges.csv
GFN2_tight,RS1_1_to_TS1_2,RS,SUCCESS,-83.44078993101,165.0,1.0,-3.0100,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_charges.csv
GFN2_tight,RS1_1_to_TS1_2,TS,SUCCESS,-83.438995226233,165.0,1.0,-8.4800,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_charges.csv
GFN2_tight,RS1_1_to_TS1_2,PS,SUCCESS,-83.437279485881,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_charges.csv
GFN2_tight,TS1_2_to_PS1_2b,RS,SUCCESS,-83.439227705245,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_charges.csv
GFN2_tight,TS1_2_to_PS1_2b,TS,SUCCESS,-83.439178768455,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_charges.csv
GFN2_tight,TS1_2_to_PS1_2b,PS,FAILED,,,,,,,,,,
GFN2_tight,RS1_2b_to_PS1_3,RS,FAILED,,,,,,,,,,
GFN2_tight,RS1_2b_to_PS1_3,TS,FAILED,,,,,,,,,,
GFN2_tight,RS1_2b_to_PS1_3,PS,FAILED,,,,,,,,,,
GFN2_tight,RS2_1_to_TS2_1a,RS,FAILED,,,,,,,,,,
GFN2_tight,RS2_1_to_TS2_1a,TS,FAILED,,,,,,,,,,
GFN2_tight,RS2_1_to_TS2_1a,PS,FAILED,,,,,,,,,,
GFN2_tight,TS2_1a_to_PS2_2,RS,SUCCESS,-110.267326556795,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_RS_charges.csv
GFN2_tight,TS2_1a_to_PS2_2,TS,SUCCESS,-110.273360110611,165.0,1.0,-5.6300,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_TS_charges.csv
GFN2_tight,TS2_1a_to_PS2_2,PS,SUCCESS,-110.295016458273,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_tight\TS2_1a_to_PS2_2\TS2_1a_to_PS2_2_PS_charges.csv
GFN2_etemp300,RS1_1_to_TS1_2,RS,SUCCESS,-83.440937540962,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_RS_charges.csv
GFN2_etemp300,RS1_1_to_TS1_2,TS,SUCCESS,-83.439043353752,165.0,1.0,-12.8200,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_TS_charges.csv
GFN2_etemp300,RS1_1_to_TS1_2,PS,SUCCESS,-83.437299426917,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\RS1_1_to_TS1_2\RS1_1_to_TS1_2_PS_charges.csv
GFN2_etemp300,TS1_2_to_PS1_2b,RS,SUCCESS,-83.439224479314,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_RS_charges.csv
GFN2_etemp300,TS1_2_to_PS1_2b,TS,SUCCESS,-83.439136596991,165.0,0.0,,57.0,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_xtbopt.xyz,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_energy.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_hessian.out,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_frequencies.csv,D:\PhD_Thesis\LmrR_EVB\charges\fast_lmrr_5QM\xtb_preparation\stage2_five_xtb_protocols\GFN2_etemp300\TS1_2_to_PS1_2b\TS1_2_to_PS1_2b_TS_charges.csv
GFN2_etemp300,TS1_2_to_PS1_2b,PS,FAILED,,,,,,,,,,
GFN2_etemp300,RS1_2b_to_PS1_3,RS,FAILED,,,,,,,,,,
